날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,9490,9580,9340,9480,3273,-0.9404388714733543
2023-12-06,9480,9650,9360,9510,965,0.31645569620253167
2023-12-07,9520,9600,9460,9540,1070,0.31545741324921134
2023-12-08,9540,10480,9400,9990,23131,4.716981132075472
2023-12-11,9790,10530,9770,10400,47427,4.1041041041041035
2023-12-12,10390,10470,10000,10370,15721,-0.2884615384615385
2023-12-13,10400,10450,10060,10310,4906,-0.5785920925747349
2023-12-14,10370,10580,10140,10250,9051,-0.5819592628516004
2023-12-15,10230,10550,9700,10250,8251,0.0
2023-12-18,10250,10290,10040,10190,1665,-0.5853658536585366
2023-12-19,10050,10330,9900,10050,1997,-1.3738959764474974
2023-12-20,9940,10130,9840,10030,3209,-0.1990049751243781
2023-12-21,9930,10200,9830,9990,4889,-0.3988035892323031
2023-12-22,9890,9940,9810,9900,1443,-0.9009009009009009
2023-12-26,9840,9990,9830,9890,1052,-0.10101010101010101
2023-12-27,9890,10000,9820,9900,3208,0.10111223458038424
2023-12-28,9980,10200,9910,10200,8619,3.0303030303030303
2024-01-02,10190,10240,9820,10200,2956,0.0
2024-01-03,10070,10460,10070,10320,5110,1.1764705882352942
2024-01-04,10210,10290,10030,10220,1483,-0.9689922480620154
2024-01-05,10220,10230,10040,10200,410,-0.19569471624266144
2024-01-08,10200,10200,9940,10160,2415,-0.39215686274509803
2024-01-09,10160,10250,10070,10210,1066,0.4921259842519685
2024-01-10,10420,10420,10190,10250,1669,0.3917727717923604
2024-01-11,10260,10260,10020,10160,1493,-0.878048780487805
2024-01-12,10040,10180,10000,10100,1416,-0.5905511811023622
2024-01-15,9990,10200,9900,10080,2060,-0.19801980198019803
2024-01-16,9990,10060,9950,10000,646,-0.7936507936507936
2024-01-17,9900,10000,9750,9920,1741,-0.8
2024-01-18,9920,9920,9810,9820,504,-1.0080645161290323
2024-01-19,9800,10150,9800,9850,2612,0.30549898167006106
2024-01-22,9840,9920,9790,9820,742,-0.3045685279187817
2024-01-23,9800,9800,9610,9790,1625,-0.30549898167006106
2024-01-24,9950,9990,9690,9790,749,0.0
2024-01-25,9700,9750,9570,9650,925,-1.4300306435137897
2024-01-26,9650,9650,9470,9500,2192,-1.5544041450777202
2024-01-29,9520,9550,9460,9470,824,-0.3157894736842105
2024-01-30,9500,9500,9120,9330,2296,-1.478352692713833
2024-01-31,9320,9320,9200,9270,919,-0.6430868167202572
2024-02-01,9270,9270,9110,9220,1313,-0.5393743257820928
2024-02-02,9220,9280,9220,9250,359,0.32537960954446854
2024-02-05,9560,9560,9090,9140,1205,-1.1891891891891893
2024-02-06,9170,9490,9010,9140,918,0.0
2024-02-07,9190,9490,9010,9140,1142,0.0
2024-02-08,9160,9180,9060,9160,348,0.2188183807439825
2024-02-13,9170,9490,9150,9250,1742,0.9825327510917031
2024-02-14,9350,9350,8800,9350,1254,1.0810810810810811
2024-02-15,9400,9400,9100,9100,1856,-2.6737967914438503
2024-02-16,9180,9380,9040,9040,1641,-0.6593406593406593
2024-02-19,9070,9190,9030,9120,1111,0.8849557522123894
2024-02-20,9120,9120,9000,9090,916,-0.3289473684210526
2024-02-21,9070,9280,9050,9120,451,0.33003300330033003
2024-02-22,9130,9150,8760,8920,2241,-2.1929824561403506
2024-02-23,8990,9290,8800,8930,2422,0.11210762331838565
2024-02-26,8920,8950,8620,8920,3479,-0.11198208286674133
2024-02-27,8920,8920,8770,8840,880,-0.8968609865470852
2024-02-28,8840,9000,8830,8870,461,0.3393665158371041
2024-02-29,8870,8910,8700,8870,1771,0.0
2024-03-04,8870,9050,8770,8840,1019,-0.3382187147688839
2024-03-05,8840,8840,8540,8540,1887,-3.3936651583710407
2024-03-06,8630,8630,8220,8540,1792,0.0
2024-03-07,8540,8650,8470,8580,2068,0.468384074941452
2024-03-08,8580,8610,8310,8530,1949,-0.5827505827505828
2024-03-11,8400,8610,8260,8380,2639,-1.7584994138335288
2024-03-12,8370,8400,8220,8400,2466,0.23866348448687352
2024-03-13,8410,8440,8340,8420,688,0.2380952380952381
2024-03-14,8430,8430,8300,8380,1360,-0.4750593824228029
2024-03-15,8400,8410,8200,8370,1569,-0.11933174224343676
2024-03-18,8370,8600,8280,8380,2633,0.11947431302270012
2024-03-19,8380,8380,8270,8350,1016,-0.35799522673031026
2024-03-20,8350,8410,8280,8300,463,-0.5988023952095809
2024-03-21,8370,8410,8260,8340,981,0.48192771084337355
2024-03-22,8280,8280,7950,7970,15465,-4.436450839328537
2024-03-25,8100,8100,7800,7850,7437,-1.5056461731493098
2024-03-26,7860,7890,7770,7850,2642,0.0
2024-03-27,7890,8000,7850,7970,6160,1.5286624203821657
2024-03-28,7980,8190,7900,7980,6419,0.12547051442910914
2024-03-29,7980,8060,7880,8040,1912,0.7518796992481203
2024-04-01,8040,8120,7950,8090,1730,0.6218905472636816
2024-04-02,8090,8090,7940,8020,1064,-0.865265760197775
2024-04-03,8010,8080,7890,8070,1200,0.6234413965087282
2024-04-04,8070,8090,7970,8030,257,-0.49566294919454773
2024-04-05,8030,8030,7850,8030,987,0.0
2024-04-08,8030,8030,7900,7920,1745,-1.36986301369863
2024-04-09,7890,8020,7810,7960,2892,0.5050505050505051
2024-04-11,7960,7970,7750,7930,712,-0.37688442211055273
2024-04-12,7920,8230,7810,7880,2570,-0.6305170239596469
2024-04-15,7780,7850,7640,7780,3498,-1.2690355329949239
2024-04-16,7780,7780,7700,7750,483,-0.3856041131105398
2024-04-17,7750,7750,7650,7730,1337,-0.25806451612903225
2024-04-18,7770,9500,7770,8450,276391,9.314359637774903
2024-04-19,8210,8430,7900,8190,17928,-3.076923076923077
2024-04-22,7980,8290,7980,8080,5057,-1.3431013431013432
2024-04-23,8090,8170,7930,7930,1247,-1.8564356435643563
2024-04-24,7930,8180,7930,8070,1788,1.7654476670870116
2024-04-25,8140,8140,7990,8030,466,-0.49566294919454773
2024-04-26,8050,8290,7950,8030,5498,0.0
2024-04-29,8210,10430,8170,10430,663735,29.8879202988792
2024-04-30,10430,10430,9160,9250,301628,-11.313518696069032
2024-05-02,9050,9640,8990,9060,83865,-2.054054054054054
2024-05-03,9040,9330,8850,9030,30789,-0.33112582781456956
2024-05-07,8690,9240,8690,9180,40634,1.6611295681063125
2024-05-08,9100,9250,8740,9020,37597,-1.7429193899782136
2024-05-09,9030,9210,8840,8840,16815,-1.9955654101995564
2024-05-10,8900,9000,8820,8930,15844,1.0180995475113122
2024-05-13,9020,9030,8660,8860,17184,-0.7838745800671892
2024-05-14,8840,8910,8710,8780,14043,-0.9029345372460496
2024-05-16,8830,9660,8830,9300,91302,5.922551252847381
2024-05-17,9170,9290,9000,9100,15032,-2.1505376344086025
2024-05-20,9040,9300,8880,8950,14260,-1.6483516483516485
2024-05-21,9040,9050,8810,8870,9263,-0.8938547486033519
2024-05-22,8870,11530,8870,11530,418386,29.988726042841034
2024-05-23,11030,14840,10400,12400,2445675,7.545533391153512
2024-05-24,12380,13600,11810,12810,422040,3.306451612903226
2024-05-27,14500,15470,12900,13090,634709,2.185792349726776
2024-05-28,13400,13450,12500,13080,128195,-0.07639419404125286
2024-05-29,12700,12910,12140,12260,83876,-6.269113149847094
2024-05-30,11940,12340,11640,11640,52771,-5.057096247960848
2024-05-31,12200,13660,12000,12660,347041,8.762886597938143
2024-06-03,13240,13390,12240,12360,69380,-2.3696682464454977
2024-06-04,12080,12200,11540,11780,54410,-4.692556634304207
2024-06-05,11670,11780,10580,10950,65446,-7.045840407470289
2024-06-07,11070,11290,10700,10850,32836,-0.91324200913242
