날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,18400,18500,17000,17990,586,-0.05555555555555555
2023-12-06,17990,17990,16500,17780,656,-1.1673151750972763
2023-12-07,18000,18400,18000,18300,8,2.924634420697413
2023-12-08,18500,18900,16880,17970,550,-1.8032786885245904
2023-12-11,18000,18400,16500,17940,248,-0.1669449081803005
2023-12-12,18000,18000,17680,17800,188,-0.7803790412486065
2023-12-13,18010,18500,18000,18000,3,1.1235955056179776
2023-12-14,18000,18000,18000,18000,1,0.0
2023-12-15,18100,18100,17890,17990,16,-0.05555555555555555
2023-12-18,17990,17990,16000,17480,1377,-2.8349082823790996
2023-12-19,17960,18000,16510,17990,227,2.917620137299771
2023-12-20,18000,18000,16500,17380,410,-3.3907726514730405
2023-12-21,18000,18000,17000,17320,119,-0.34522439585730724
2023-12-22,18500,18500,16650,17360,286,0.23094688221709006
2023-12-26,17510,18000,17000,17930,135,3.2834101382488474
2023-12-27,18000,18000,17490,17940,148,0.055772448410485224
2023-12-28,18110,18300,17500,17990,188,0.2787068004459309
2024-01-02,18200,18280,18000,18070,18,0.44469149527515284
2024-01-03,18200,18300,18000,18300,223,1.2728278915329274
2024-01-04,18200,21000,17010,19750,884,7.923497267759563
2024-01-05,19400,19900,19000,19730,638,-0.10126582278481014
2024-01-08,19760,20000,19730,20000,438,1.3684744044602128
2024-01-09,20500,21500,19700,20850,2847,4.25
2024-01-10,20850,20950,20850,20950,25,0.4796163069544364
2024-01-11,20950,20950,19900,20500,874,-2.1479713603818613
2024-01-12,20900,21000,19990,21000,1629,2.4390243902439024
2024-01-15,21500,22000,20000,20500,1225,-2.380952380952381
2024-01-16,20900,22000,20900,21000,286,2.4390243902439024
2024-01-17,21500,22000,21000,21400,721,1.9047619047619049
2024-01-18,21900,21900,21000,21000,725,-1.8691588785046727
2024-01-19,21000,21000,20000,20900,2428,-0.4761904761904762
2024-01-22,20900,20900,20050,20850,307,-0.23923444976076555
2024-01-23,20900,20900,20000,20500,1213,-1.6786570743405276
2024-01-24,21000,21000,20050,20450,672,-0.24390243902439024
2024-01-25,21000,21000,20000,20500,869,0.24449877750611246
2024-01-26,21000,21000,20850,21000,578,2.4390243902439024
2024-01-29,21500,21500,20950,21000,327,0.0
2024-01-30,21500,21800,20500,21500,5488,2.380952380952381
2024-01-31,21900,22000,20900,21700,2373,0.9302325581395349
2024-02-01,21900,22000,21750,22000,816,1.3824884792626728
2024-02-02,22500,22500,21650,22000,728,0.0
2024-02-05,22200,22200,21500,22100,612,0.45454545454545453
2024-02-06,22200,25200,22050,22850,737,3.3936651583710407
2024-02-07,23100,23950,22100,23000,91,0.6564551422319475
2024-02-08,23500,24000,23000,23000,19,0.0
2024-02-13,23100,23500,22500,23500,5755,2.1739130434782608
2024-02-14,24000,25000,23000,24400,4011,3.829787234042553
2024-02-15,24600,24600,24100,24500,589,0.4098360655737705
2024-02-16,24500,25000,24100,24800,22,1.2244897959183674
2024-02-19,25000,25000,24100,24950,1709,0.6048387096774194
2024-02-20,25000,25000,24950,25000,263,0.2004008016032064
2024-02-21,25000,25000,24300,25000,306,0.0
2024-02-22,25000,26000,25000,25950,2328,3.8
2024-02-23,26000,27000,26000,26950,636,3.8535645472061653
2024-02-26,28000,30500,27800,28600,761,6.122448979591836
