날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,10060,10200,10000,10030,10610,-2.4319066147859925
2023-12-06,10030,10290,9830,10200,5340,1.694915254237288
2023-12-07,10020,10360,10000,10070,10582,-1.2745098039215685
2023-12-08,10160,10260,10040,10170,5231,0.9930486593843099
2023-12-11,10300,10860,10200,10620,36968,4.424778761061947
2023-12-12,10630,10860,10460,10490,12258,-1.2241054613935969
2023-12-13,10630,12950,10510,11090,570156,5.719733079122975
2023-12-14,11450,11450,10550,10680,72484,-3.69702434625789
2023-12-15,10610,10650,10350,10550,25722,-1.2172284644194757
2023-12-18,10650,10730,10450,10600,22527,0.47393364928909953
2023-12-19,10520,10710,10370,10380,29058,-2.0754716981132075
2023-12-20,10490,10490,10050,10250,69647,-1.2524084778420037
2023-12-21,10220,10280,9900,9990,46625,-2.5365853658536586
2023-12-22,10050,10290,9920,10190,12774,2.002002002002002
2023-12-26,10190,10280,10120,10190,12010,0.0
2023-12-27,10120,10220,10020,10170,8141,-0.19627085377821393
2023-12-28,10220,10220,9950,10150,30252,-0.19665683382497542
2024-01-02,10170,10260,10020,10160,71516,0.09852216748768472
2024-01-03,10040,10230,10020,10150,10929,-0.09842519685039369
2024-01-04,10140,10150,10000,10120,13118,-0.2955665024630542
2024-01-05,10150,10320,10100,10140,31604,0.1976284584980237
2024-01-08,10180,10260,10110,10120,7196,-0.19723865877712032
2024-01-09,10250,10260,10150,10200,13158,0.7905138339920948
2024-01-10,10250,10250,10070,10190,5569,-0.09803921568627451
2024-01-11,10220,10220,10060,10110,11059,-0.7850834151128557
2024-01-12,10080,10150,9980,10050,11908,-0.5934718100890208
2024-01-15,10070,10070,9940,9990,8890,-0.5970149253731344
2024-01-16,9960,10000,9300,9850,24394,-1.4014014014014013
2024-01-17,9900,9900,9610,9820,12401,-0.3045685279187817
2024-01-18,9650,9930,9600,9820,13713,0.0
2024-01-19,9880,10030,9850,9990,8604,1.7311608961303464
2024-01-22,10090,10090,9970,10000,12277,0.10010010010010009
2024-01-23,10000,10000,9930,9960,3329,-0.4
2024-01-24,9950,10250,9950,10050,17661,0.9036144578313252
2024-01-25,10040,10190,9940,9980,6783,-0.6965174129353234
2024-01-26,9980,10000,9930,9990,5012,0.1002004008016032
2024-01-29,10000,10180,9930,10000,5460,0.10010010010010009
2024-01-30,10010,10080,9920,9960,9287,-0.4
2024-01-31,9960,10110,9830,9830,9469,-1.3052208835341366
2024-02-01,9830,9950,9800,9910,2678,0.8138351983723295
2024-02-02,9910,10030,9830,9960,2958,0.5045408678102926
2024-02-05,9960,9970,9820,9960,4027,0.0
2024-02-06,9960,9970,9850,9920,1116,-0.4016064257028112
2024-02-07,9920,9930,9800,9820,18286,-1.0080645161290323
2024-02-08,9800,9820,9620,9730,21056,-0.9164969450101833
2024-02-13,9740,9890,9730,9840,4994,1.1305241521068858
2024-02-14,9840,9870,9760,9860,2398,0.20325203252032523
2024-02-15,9900,9900,9810,9870,5463,0.10141987829614604
2024-02-16,9870,9890,9720,9870,7987,0.0
2024-02-19,9810,9890,9780,9850,3140,-0.2026342451874367
2024-02-20,9850,9890,9690,9810,4041,-0.40609137055837563
2024-02-21,9780,9820,9760,9810,1055,0.0
2024-02-22,9770,9840,9710,9810,4274,0.0
2024-02-23,9820,9840,9600,9750,4769,-0.6116207951070336
2024-02-26,9720,9740,9560,9570,5662,-1.8461538461538463
2024-02-27,9560,9570,9370,9400,8647,-1.7763845350052248
2024-02-28,9400,9580,9380,9440,4519,0.425531914893617
2024-02-29,9430,9430,9330,9380,3328,-0.6355932203389831
2024-03-04,9420,9720,9420,9700,14567,3.411513859275053
2024-03-05,9630,9740,9560,9660,2797,-0.4123711340206186
2024-03-06,9660,9720,9600,9700,5141,0.4140786749482402
2024-03-07,9700,9720,9640,9690,1771,-0.10309278350515465
2024-03-08,9620,9770,9620,9750,5467,0.6191950464396285
2024-03-11,9630,9760,9630,9750,3688,0.0
2024-03-12,9750,9760,9710,9750,1434,0.0
2024-03-13,9750,9780,9590,9600,7583,-1.5384615384615385
2024-03-14,9600,9600,9330,9450,13121,-1.5625
2024-03-15,9420,9520,9310,9480,6752,0.31746031746031744
2024-03-18,9300,9480,9300,9470,3388,-0.10548523206751054
2024-03-19,9430,9590,9330,9540,4325,0.7391763463569165
2024-03-20,9520,9700,9520,9640,2729,1.0482180293501049
2024-03-21,9830,9900,9700,9780,5521,1.4522821576763485
2024-03-22,9700,9810,9660,9760,3799,-0.2044989775051125
2024-03-25,9790,9820,9640,9740,1382,-0.20491803278688525
2024-03-26,9650,9790,9650,9780,7950,0.41067761806981523
2024-03-27,9700,9950,9650,9740,9420,-0.408997955010225
2024-03-28,9660,9830,9660,9700,1515,-0.41067761806981523
2024-03-29,9700,9790,9620,9790,4810,0.9278350515463918
2024-04-01,9820,10330,9820,10030,87573,2.4514811031664965
2024-04-02,10150,10200,9890,9940,18122,-0.897308075772682
2024-04-03,9940,9970,9800,9910,5711,-0.30181086519114686
2024-04-04,9980,10050,9820,9990,8673,0.8072653884964682
2024-04-05,9990,9990,9870,9910,2130,-0.8008008008008007
2024-04-08,9880,9980,9710,9730,4342,-1.8163471241170535
2024-04-09,9710,9810,9680,9750,2168,0.20554984583761562
2024-04-11,9750,9800,9660,9700,2297,-0.5128205128205128
2024-04-12,9700,9830,9640,9640,3694,-0.6185567010309279
2024-04-15,9570,9700,9420,9670,4789,0.3112033195020747
