날짜,시가,고가,저가,종가,거래량,등락률
2024-10-16,25400,26850,19130,20650,22855966,
2024-10-17,21150,26800,21000,26800,18596914,29.782082324455207
2024-10-18,28100,29450,25100,26000,14116929,-2.9850746268656714
2024-10-21,24800,25400,22600,22600,3119661,-13.076923076923078
2024-10-22,22900,24700,19200,19330,5591688,-14.469026548672566
2024-10-23,19110,20650,17410,18370,2982745,-4.966373512674599
2024-10-24,19400,22900,19040,20800,10121747,13.228089275993469
2024-10-25,20300,20450,17650,17750,2316338,-14.663461538461538
2024-10-28,17350,18550,16380,16710,2819999,-5.859154929577465
2024-10-29,16610,16740,15480,15790,1075224,-5.505685218432077
2024-10-30,15790,17420,15450,15850,2536706,0.37998733375554145
2024-10-31,15680,16340,15010,15090,1162614,-4.794952681388013
2024-11-01,14770,15320,14000,14100,579190,-6.560636182902585
2024-11-04,14080,15900,13780,14910,1407988,5.74468085106383
2024-11-05,15640,17100,15000,15020,2365731,0.7377598926894702
2024-11-06,15020,15130,13900,14080,664706,-6.25832223701731
2024-11-07,14110,14160,13260,13430,472163,-4.6164772727272725
2024-11-08,13430,14700,13430,14070,549305,4.7654504839910645
2024-11-11,14110,14360,13500,13850,318665,-1.5636105188343994
2024-11-12,14250,14520,12800,13100,441944,-5.415162454873646
2024-11-13,13100,13140,11310,11400,451496,-12.977099236641221
2024-11-14,11500,11550,10500,10560,274456,-7.368421052631578
2024-11-15,10910,11500,10650,10910,528529,3.3143939393939394
2024-11-18,11000,12250,9930,11730,1524445,7.516040329972502
2024-11-19,11510,11700,10840,10930,300495,-6.820119352088662
2024-11-20,10850,11930,10520,10930,493090,0.0
2024-11-21,10860,11130,10290,10290,334267,-5.85544373284538
2024-11-22,10390,10770,10100,10110,297878,-1.749271137026239
2024-11-25,10100,10680,10100,10420,228094,3.066271018793274
2024-11-26,10450,10730,10300,10410,140974,-0.09596928982725528
2024-11-27,10580,11300,10320,10970,355903,5.379442843419788
2024-11-28,11050,13960,11040,13370,3858364,21.87784867821331
2024-11-29,13900,14900,12230,12390,3469450,-7.329842931937172
2024-12-02,12720,13590,12360,13170,1387831,6.2953995157385
2024-12-03,12910,13420,12650,13040,622483,-0.9870918754745633
2024-12-04,12510,14320,11990,14020,2124655,7.515337423312883
2024-12-05,15080,18140,14540,17300,13035493,23.39514978601997
2024-12-06,17090,17890,15130,16060,6481613,-7.167630057803469
2024-12-09,15500,17270,14500,14500,4282968,-9.71357409713574
2024-12-10,14880,16280,14860,15600,2617331,7.586206896551724
2024-12-11,15620,16170,15150,16030,1392122,2.7564102564102564
2024-12-12,15670,16400,15500,15580,1052794,-2.8072364316905802
2024-12-13,15440,16550,15120,15510,1419316,-0.4492939666238768
2024-12-16,15650,15760,14440,14820,902467,-4.448742746615087
2024-12-17,14650,15100,14120,14870,769066,0.33738191632928477
2024-12-18,14690,14710,14060,14360,404543,-3.429724277067922
2024-12-19,13610,13830,12680,12730,705124,-11.350974930362117
2024-12-20,12580,12870,11830,11980,413267,-5.89159465828751
2024-12-23,11980,12770,11700,12300,293514,2.671118530884808
2024-12-24,12360,12440,11750,12000,243255,-2.4390243902439024
2024-12-26,12050,12290,11550,11680,222124,-2.666666666666667
2024-12-27,11450,11940,10950,11120,271005,-4.794520547945205
2024-12-30,10900,11870,10900,11800,230269,6.115107913669065
2025-01-02,12000,12270,11730,12090,194792,2.457627118644068
2025-01-03,12400,13100,12310,12870,391909,6.451612903225806
2025-01-06,12870,12960,12560,12770,168177,-0.777000777000777
2025-01-07,12980,13100,12500,12680,174423,-0.7047768206734534
2025-01-08,12560,12710,12210,12260,164324,-3.3123028391167195
2025-01-09,12300,13320,11850,13200,478607,7.6672104404567705
2025-01-10,13500,14270,12740,13040,573442,-1.2121212121212122
2025-01-13,13180,13830,13100,13320,348543,2.147239263803681
2025-01-14,13710,13790,13100,13250,267026,-0.5255255255255256
2025-01-15,13260,13360,13000,13140,154672,-0.8301886792452831
2025-01-16,13000,15400,12770,15200,2130016,15.67732115677321
2025-01-17,15310,15780,15120,15590,624303,2.5657894736842106
2025-01-20,15600,16760,15210,16200,709460,3.9127645926876204
2025-01-21,16140,16590,15750,16060,321592,-0.8641975308641975
2025-01-22,16040,18010,15880,17880,1097845,11.33250311332503
2025-01-23,17610,18600,17210,17450,525831,-2.4049217002237135
2025-01-24,17980,18130,17230,17450,424686,0.0
2025-01-31,17450,18800,17450,17760,439213,1.7765042979942696
2025-02-03,17700,18220,17020,17780,290116,0.11261261261261261
2025-02-04,18030,19800,17850,18400,757279,3.487064116985377
2025-02-05,18900,19750,15990,16600,1830108,-9.782608695652174
2025-02-06,16600,16940,15770,16400,553191,-1.2048192771084338
2025-02-07,16410,16470,15980,16100,294678,-1.8292682926829267
2025-02-10,15900,16850,15150,16740,520966,3.9751552795031055
2025-02-11,16740,16750,15560,15560,357220,-7.048984468339308
2025-02-12,15500,15540,15070,15170,192252,-2.506426735218509
2025-02-13,15150,15180,14790,14980,220969,-1.2524719841793013
2025-02-14,15210,15460,14420,14600,282646,-2.53671562082777
2025-02-17,14600,15240,14550,15240,164826,4.383561643835616
2025-02-18,15580,15580,14870,15300,244594,0.39370078740157477
2025-02-19,15400,15580,14810,15440,244268,0.9150326797385622
2025-02-20,15560,15630,15020,15140,196391,-1.9430051813471503
2025-02-21,15290,15750,14930,15620,277921,3.1704095112285335
2025-02-24,15380,15410,14830,14900,225071,-4.609475032010243
2025-02-25,15150,16810,14850,16000,1458140,7.38255033557047
2025-02-26,16000,16430,15610,15990,772071,-0.0625
2025-02-27,15960,16710,15860,16550,696109,3.5021888680425266
2025-02-28,16300,17340,16090,16630,744590,0.4833836858006042
2025-03-04,16750,18200,16750,17840,1299878,7.276007215874925
2025-03-05,18050,19500,16500,16540,2114214,-7.286995515695067
2025-03-06,16670,17360,16240,16980,451743,2.6602176541717046
2025-03-07,16690,16920,15560,15810,449469,-6.890459363957597
2025-03-10,15700,16320,15700,15940,224490,0.8222643896268185
2025-03-11,15250,16230,15250,15860,199905,-0.5018820577164366
2025-03-12,16290,18000,15930,17420,997125,9.836065573770492
2025-03-13,17420,20000,17370,19270,2348453,10.619977037887486
2025-03-14,19300,21425,19070,20600,1698890,6.9019200830306175
2025-03-17,20850,21200,20300,20900,514667,1.4563106796116505
2025-03-18,20900,21250,20250,20350,419805,-2.631578947368421
2025-03-19,20450,22450,20050,20250,950306,-0.4914004914004914
2025-03-20,19900,20800,19340,19400,443790,-4.197530864197531
2025-03-21,19390,19730,18900,19330,279825,-0.36082474226804123
2025-03-24,19160,19750,18960,19340,300990,0.05173305742369374
2025-03-25,19430,19440,18140,18450,430685,-4.601861427094105
2025-03-26,18450,20950,18210,20300,720660,10.02710027100271
2025-03-27,20250,20675,19600,20400,296152,0.49261083743842365
2025-03-28,20300,20300,18650,19220,345302,-5.784313725490196
2025-03-31,18550,18940,17800,18140,207629,-5.6191467221644125
2025-04-01,18310,18760,18040,18170,144029,0.16538037486218302
2025-04-02,18210,18380,17280,17330,185521,-4.623004953219593
2025-04-03,16930,18350,16800,18300,154740,5.597230236583958
2025-04-04,18360,18790,17295,17810,216063,-2.677595628415301
2025-04-07,17120,17250,16230,16460,192113,-7.580011229646266
2025-04-08,17170,17290,16500,16630,155641,1.0328068043742407
2025-04-09,17410,18060,16620,17000,243986,2.2248947684906795
2025-04-10,17790,18120,17200,18040,128933,6.11764705882353
2025-04-11,17490,18890,17490,18370,231405,1.8292682926829267
2025-04-14,18370,18490,17910,18240,116470,-0.7076755579749592
2025-04-15,18300,18860,17370,18780,191177,2.9605263157894735
2025-04-16,18880,19370,18170,18220,167978,-2.9818956336528224
2025-04-17,18200,18450,17530,18000,149422,-1.2074643249176729
2025-04-18,18140,18920,17650,18850,172299,4.722222222222222
2025-04-21,19200,19290,18630,18770,106165,-0.42440318302387264
2025-04-22,18420,18690,18210,18670,96544,-0.5327650506126799
2025-04-23,18790,18800,18310,18490,65873,-0.96411355115158
2025-04-24,18490,18810,18230,18410,71155,-0.4326663061114116
2025-04-25,18550,18670,16990,17450,187156,-5.2145573058120585
2025-04-28,17660,17660,15820,15950,334645,-8.595988538681947
2025-04-29,15950,16390,15900,16250,92651,1.8808777429467085
2025-04-30,16220,16300,15510,15660,97512,-3.6307692307692303
2025-05-02,15560,15850,15110,15310,110920,-2.234993614303959
2025-05-07,15090,15360,14710,15050,179333,-1.6982364467668192
2025-05-08,15100,16470,14570,14670,455510,-2.524916943521595
2025-05-09,14600,15370,14420,15170,153788,3.408316291751875
2025-05-12,15150,15170,14440,14540,110956,-4.152933421226105
2025-05-13,14550,15370,14520,15100,121710,3.851444291609354
2025-05-14,15300,15630,14950,15600,72283,3.3112582781456954
2025-05-15,16000,17350,15830,16950,300549,8.653846153846153
2025-05-16,16990,17750,16570,17600,195643,3.8348082595870205
2025-05-19,17080,18000,16920,17090,151835,-2.8977272727272725
2025-05-20,17420,18530,17200,18410,207482,7.723815096547688
2025-05-21,18480,18580,17700,18420,92033,0.05431830526887561
2025-05-22,18390,19200,17600,17800,188020,-3.3659066232356136
2025-05-23,17980,18130,17500,17650,65166,-0.8426966292134831
2025-05-26,17550,17990,16350,16980,107325,-3.7960339943342776
2025-05-27,16950,17560,16720,17490,113675,3.0035335689045937
2025-05-28,17500,17760,17280,17380,73833,-0.628930817610063
2025-05-29,17310,17580,17000,17060,67853,-1.8411967779056386
2025-05-30,17230,18590,16990,17850,172531,4.6307151230949595
2025-06-02,17780,17860,17140,17260,84079,-3.305322128851541
2025-06-04,17850,18480,17630,18330,135650,6.199304750869061
2025-06-05,18330,18600,18000,18220,109608,-0.6001091107474086
2025-06-09,18620,18950,18090,18250,106984,0.1646542261251372
2025-06-10,19020,20500,18740,19880,368772,8.931506849315069
2025-06-11,20000,21450,19710,20550,352592,3.3702213279678066
2025-06-12,20350,20700,19850,20400,96916,-0.7299270072992701
2025-06-13,20800,21100,19990,20350,333832,-0.24509803921568626
2025-06-16,20600,21900,20400,21800,249854,7.125307125307126
2025-06-17,22150,22200,20800,21550,117420,-1.146788990825688
