날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,2885,2906,2731,2786,74814,-4.4253859348198965
2023-12-06,2759,2828,2611,2759,68226,-0.9691313711414214
2023-12-07,2744,2849,2674,2681,27713,-2.8271112722000726
2023-12-08,2672,2726,2611,2642,49103,-1.454681089145841
2023-12-11,2648,2690,2578,2630,69888,-0.45420136260408783
2023-12-12,2644,3416,2644,3416,859352,29.885931558935365
2023-12-13,4016,4403,3391,3479,2209845,1.8442622950819672
2023-12-14,3488,3662,3238,3377,262522,-2.93187697614257
2023-12-15,3410,3422,3091,3107,139205,-7.9952620669233045
2023-12-18,3107,3347,3043,3074,101721,-1.062117798519472
2023-12-19,3152,3152,2857,2966,85916,-3.513337670787248
2023-12-20,2965,3053,2941,3020,49338,1.8206338503034392
2023-12-21,3017,3098,2914,2972,68565,-1.5894039735099337
2023-12-22,2945,2984,2911,2921,34118,-1.7160161507402423
2023-12-26,2920,2978,2908,2948,45949,0.9243409791167408
2023-12-27,2947,3062,2947,3038,39958,3.0529172320217097
2023-12-28,3065,3089,3001,3005,27494,-1.0862409479921
2024-01-02,3053,3062,2977,3029,21957,0.7986688851913478
2024-01-03,3062,3062,2926,2960,33806,-2.2779795311984152
2024-01-04,2929,2957,2878,2933,21279,-0.9121621621621622
2024-01-05,2933,3026,2896,2900,26601,-1.1251278554381179
2024-01-08,2999,2999,2855,2855,48877,-1.5517241379310345
2024-01-09,2834,2912,2768,2768,38859,-3.0472854640980733
2024-01-10,2732,2822,2671,2678,86253,-3.251445086705202
2024-01-11,2731,2942,2704,2858,77721,6.721433905899925
2024-01-12,2852,2858,2698,2738,41246,-4.198740377886634
2024-01-15,2738,2774,2581,2663,56736,-2.739225712198685
2024-01-16,2656,2774,2638,2663,36278,0.0
2024-01-17,2639,2705,2567,2567,38644,-3.6049568156214793
2024-01-18,2521,2651,2401,2603,36642,1.4024152707440591
2024-01-19,2603,2654,2507,2507,22310,-3.688052247406838
2024-01-22,2546,3053,2402,2402,589700,-4.188272836059035
2024-01-23,2404,2846,2404,2474,251756,2.9975020815986677
2024-01-24,2474,2474,2401,2408,43088,-2.667744543249798
2024-01-25,2414,2423,2326,2372,60496,-1.495016611295681
2024-01-26,2341,2437,2286,2296,61772,-3.204047217537943
2024-01-29,2311,2468,2308,2387,64230,3.9634146341463414
2024-01-30,2386,2456,2257,2414,61702,1.1311269375785507
2024-01-31,2371,3014,2371,2639,1415136,9.32062966031483
2024-02-01,2639,2732,2431,2438,128964,-7.616521409624857
2024-02-02,2413,2693,2404,2570,149367,5.414273995077933
2024-02-05,2641,3170,2575,2888,1382758,12.373540856031129
2024-02-06,2861,2867,2737,2822,148807,-2.285318559556787
2024-02-07,2860,3572,2836,3404,1609729,20.623671155209074
2024-02-08,3275,3353,3091,3164,266999,-7.050528789659224
2024-02-13,3185,3888,3185,3762,1557331,18.900126422250317
2024-02-14,3677,3867,3578,3807,289462,1.1961722488038278
2024-02-15,3866,4473,3866,3936,712678,3.38849487785658
2024-02-16,3944,4053,3770,4053,194823,2.972560975609756
2024-02-19,4080,4239,3659,3723,248897,-8.142116950407106
2024-02-20,3753,3867,3632,3684,99078,-1.04754230459307
2024-02-21,3723,3765,3546,3546,81904,-3.7459283387622153
2024-02-22,3548,3614,3301,3476,55362,-1.9740552735476595
2024-02-23,3476,3476,3169,3311,78174,-4.746835443037975
2024-02-26,3311,3317,3007,3203,82482,-3.261854424645122
2024-02-27,3178,3452,2971,3368,215834,5.151420543240712
2024-02-28,3332,3443,3190,3230,53947,-4.097387173396674
2024-02-29,3389,3389,3061,3122,49197,-3.343653250773994
2024-03-04,3122,3191,3013,3062,37512,-1.9218449711723256
2024-03-05,3025,3101,3001,3047,29354,-0.48987589810581317
2024-03-06,2941,3065,2938,3065,37650,0.5907449950771251
2024-03-07,3004,3098,2947,3071,33279,0.1957585644371941
2024-03-08,3041,3092,2998,3020,17153,-1.660696841419733
2024-03-11,2932,3122,2911,2993,42199,-0.8940397350993378
2024-03-12,2993,3050,2731,2762,67695,-7.718008686936184
2024-03-13,2762,2846,2671,2750,38994,-0.4344677769732078
2024-03-14,2771,2846,2668,2672,17084,-2.8363636363636364
2024-03-15,2728,2807,2668,2747,34349,2.80688622754491
2024-03-18,2740,3374,2701,2939,528425,6.989443028758647
2024-03-19,2941,3392,2941,3014,314014,2.5518883974140865
2024-03-20,3047,3149,2893,2909,58777,-3.4837425348374254
2024-03-21,2909,2909,2449,2660,241343,-8.559642488827777
2024-03-22,2696,2786,2521,2654,122790,-0.2255639097744361
2024-03-25,2756,2756,2521,2663,89103,0.3391107761868877
2024-03-26,2663,2702,2581,2615,27624,-1.8024784078107396
2024-03-27,2615,2615,2401,2522,73818,-3.5564053537284894
2024-03-28,2512,2630,2491,2549,53298,1.070578905630452
2024-03-29,2542,2612,2455,2546,49537,-0.11769321302471558
2024-04-01,2546,2546,2470,2477,39052,-2.7101335428122546
2024-04-02,2446,2639,2431,2450,32926,-1.0900282599919258
2024-04-03,2431,2543,2419,2474,32910,0.9795918367346939
