날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,25600,26150,24300,24600,228488,-5.747126436781609
2023-12-06,24800,25400,24600,25300,106727,2.8455284552845526
2023-12-07,24900,25450,24800,24850,96161,-1.7786561264822136
2023-12-08,25550,25750,24950,25000,105091,0.6036217303822937
2023-12-11,25400,25550,25000,25150,85711,0.6
2023-12-12,25700,26050,25150,25450,145778,1.1928429423459244
2023-12-13,25300,26800,25300,26600,310060,4.518664047151278
2023-12-14,27150,28400,26650,26800,524484,0.7518796992481203
2023-12-15,28100,28200,26550,26700,326268,-0.3731343283582089
2023-12-18,26900,27750,26750,27000,178382,1.1235955056179776
2023-12-19,27150,27200,26250,26400,149161,-2.2222222222222223
2023-12-20,26650,26950,26100,26500,109766,0.3787878787878788
2023-12-21,26050,27100,26050,26950,147537,1.6981132075471699
2023-12-22,27750,32250,27550,29750,3253355,10.38961038961039
2023-12-26,30350,31200,29500,29800,995261,0.16806722689075632
2023-12-27,30300,31100,29300,30100,490635,1.006711409395973
2023-12-28,30500,30800,29900,30550,320886,1.495016611295681
2024-01-02,31150,32800,30800,32100,1023587,5.073649754500818
2024-01-03,31200,32250,30150,31950,558770,-0.46728971962616817
2024-01-04,31900,33000,29950,30400,583814,-4.851330203442879
2024-01-05,30600,30750,29850,30150,251141,-0.8223684210526315
2024-01-08,30050,30050,28650,29600,325688,-1.8242122719734661
2024-01-09,30450,31000,29600,30150,379661,1.8581081081081081
2024-01-10,29850,30300,28650,29300,265954,-2.8192371475953566
2024-01-11,29450,30250,29000,30050,211986,2.5597269624573378
2024-01-12,30050,30150,28150,28450,375217,-5.324459234608985
2024-01-15,28550,29050,27900,28200,160615,-0.8787346221441126
2024-01-16,28300,28450,27250,27450,221535,-2.6595744680851063
2024-01-17,27950,28100,27000,27550,179837,0.36429872495446264
2024-01-18,27550,29350,27550,29000,298887,5.263157894736842
2024-01-19,29600,30200,29350,29700,344459,2.413793103448276
2024-01-22,30400,30800,29700,30300,309511,2.0202020202020203
2024-01-23,30700,30700,28650,29050,269879,-4.125412541254125
2024-01-24,28850,29800,28400,29800,145244,2.5817555938037864
2024-01-25,30100,30100,28700,28800,176760,-3.3557046979865772
2024-01-26,28200,28500,27650,27750,205528,-3.6458333333333335
2024-01-29,27650,28500,27000,27100,195077,-2.3423423423423424
2024-01-30,27250,27550,25550,26300,317025,-2.952029520295203
2024-01-31,25700,26350,25250,25450,123556,-3.2319391634980987
2024-02-01,25150,25750,23950,24250,392848,-4.715127701375246
2024-02-02,24700,25150,23650,24300,243471,0.2061855670103093
2024-02-05,24500,24550,23750,23800,92057,-2.05761316872428
2024-02-06,24000,24450,23200,24300,142171,2.100840336134454
2024-02-07,24500,24500,23000,23200,178500,-4.526748971193416
2024-02-08,23550,24450,23300,24100,178755,3.8793103448275863
2024-02-13,24700,26200,24400,26000,346098,7.883817427385892
2024-02-14,25200,26450,25000,25900,207679,-0.38461538461538464
2024-02-15,26700,28100,26200,26250,422842,1.3513513513513513
2024-02-16,26300,27150,25900,26150,209288,-0.38095238095238093
2024-02-19,26050,26050,25100,25350,130861,-3.0592734225621414
2024-02-20,25350,26150,24750,26000,178458,2.564102564102564
2024-02-21,25600,26700,25200,25450,152551,-2.1153846153846154
2024-02-22,26150,26300,24500,24700,305239,-2.9469548133595285
2024-02-23,25000,25300,23850,24050,216984,-2.631578947368421
2024-02-26,23850,24650,23550,23850,199534,-0.8316008316008316
2024-02-27,23900,24050,23000,23300,158027,-2.3060796645702304
2024-02-28,23450,23950,23150,23200,219078,-0.4291845493562232
2024-02-29,23200,23600,22750,23550,107184,1.5086206896551724
2024-03-04,24100,25050,24000,25000,302590,6.1571125265392785
2024-03-05,24950,25350,24550,25150,225688,0.6
2024-03-06,26500,31600,25750,28200,5917921,12.127236580516898
2024-03-07,30000,30400,27950,28300,1887948,0.3546099290780142
2024-03-08,29000,29250,27800,28000,680240,-1.0600706713780919
2024-03-11,26700,27550,26700,27200,468579,-2.857142857142857
2024-03-12,27200,29450,26900,29200,1017902,7.352941176470589
2024-03-13,29550,29750,27600,28050,912114,-3.9383561643835616
2024-03-14,27700,28000,26200,26300,531072,-6.23885918003565
2024-03-15,26000,27050,25750,26800,304224,1.9011406844106464
2024-03-18,26800,27700,26000,27400,399221,2.2388059701492535
2024-03-19,26650,26700,25850,26000,348169,-5.109489051094891
2024-03-20,26300,27400,25850,27000,535048,3.8461538461538463
2024-03-21,27650,27700,26400,26450,373157,-2.037037037037037
2024-03-22,27100,28300,26450,26500,725410,0.1890359168241966
2024-03-25,26800,27150,26400,26800,191236,1.1320754716981132
2024-03-26,26950,27800,26200,26450,474012,-1.3059701492537312
2024-03-27,26250,26650,25000,25350,398068,-4.158790170132325
2024-03-28,25850,26100,25050,25200,388954,-0.591715976331361
2024-03-29,25750,27300,25250,26500,604161,5.158730158730158
2024-04-01,26750,27700,26650,27000,375080,1.8867924528301887
2024-04-02,28000,29450,27600,28100,1932938,4.074074074074074
2024-04-03,28600,29950,27750,28900,1494312,2.8469750889679712
2024-04-04,29550,31000,28100,30750,1466749,6.401384083044983
2024-04-05,30100,31750,29800,30100,873994,-2.113821138211382
2024-04-08,30500,30600,28050,28350,603030,-5.813953488372093
2024-04-09,28150,28500,27150,27700,390335,-2.2927689594356258
2024-04-11,27200,28650,27100,28150,239453,1.6245487364620936
2024-04-12,29750,30500,28000,28100,773309,-0.17761989342806395
2024-04-15,27600,27950,26750,27900,324219,-0.7117437722419928
2024-04-16,27650,28750,26150,26150,468577,-6.272401433691756
2024-04-17,26450,29050,26450,27350,1036807,4.588910133843212
2024-04-18,26800,29900,26600,28450,945104,4.021937842778794
2024-04-19,28000,28100,25900,26700,685461,-6.151142355008787
2024-04-22,26000,26600,25650,26100,293178,-2.247191011235955
2024-04-23,26250,26800,26250,26600,188413,1.9157088122605364
2024-04-24,27100,27650,26500,26850,346519,0.9398496240601504
