날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,21150,21400,21000,21400,3644,1.1820330969267139
2023-12-06,21150,21550,21150,21550,1508,0.7009345794392523
2023-12-07,21550,21550,21150,21450,2863,-0.46403712296983757
2023-12-08,21250,21400,21050,21150,2289,-1.3986013986013985
2023-12-11,21150,21450,21150,21300,1668,0.7092198581560284
2023-12-12,21350,21350,20950,20950,4325,-1.643192488262911
2023-12-13,20950,21150,20550,20550,3225,-1.9093078758949882
2023-12-14,20650,21350,20650,21100,5914,2.67639902676399
2023-12-15,21100,21100,20800,21050,2505,-0.23696682464454977
2023-12-18,20900,21000,20750,20850,2713,-0.9501187648456058
2023-12-19,20800,21300,20750,21300,3224,2.158273381294964
2023-12-20,21300,21500,21150,21500,1326,0.9389671361502347
2023-12-21,21200,21900,21150,21550,5201,0.23255813953488372
2023-12-22,21550,21600,21200,21550,1760,0.0
2023-12-26,21550,21700,21300,21550,2779,0.0
2023-12-27,21550,21550,21150,21200,2391,-1.6241299303944314
2023-12-28,21150,21300,21000,21300,2255,0.4716981132075472
2024-01-02,21150,21300,20950,21300,1729,0.0
2024-01-03,21250,21450,21100,21350,475,0.2347417840375587
2024-01-04,21100,21450,20950,21400,2589,0.234192037470726
2024-01-05,21450,22150,21350,21650,2145,1.1682242990654206
2024-01-08,21300,21800,21300,21750,1619,0.4618937644341801
2024-01-09,21500,21750,21500,21700,764,-0.22988505747126436
2024-01-10,21450,21650,21300,21350,1599,-1.6129032258064515
2024-01-11,21200,25450,21200,24800,156608,16.159250585480095
2024-01-12,24800,32200,24800,32200,463507,29.838709677419356
2024-01-15,34000,34000,28000,29000,822199,-9.937888198757763
2024-01-16,29500,31200,27400,28100,360146,-3.103448275862069
2024-01-17,28600,29150,24950,25300,211865,-9.9644128113879
2024-01-18,25400,25800,23950,23950,106012,-5.33596837944664
2024-01-19,24400,24550,23700,24050,66343,0.41753653444676403
2024-01-22,24100,24650,23500,23950,55598,-0.4158004158004158
2024-01-23,23950,24950,23800,24800,60410,3.549060542797495
2024-01-24,25000,25050,24050,24550,35707,-1.0080645161290323
2024-01-25,24350,24550,23600,24400,27291,-0.6109979633401221
2024-01-26,24400,24750,23850,24300,26494,-0.4098360655737705
2024-01-29,24150,24200,23550,24000,25912,-1.2345679012345678
2024-01-30,24000,24200,23550,24050,12795,0.20833333333333334
2024-01-31,24200,24250,23600,23750,17482,-1.2474012474012475
2024-02-01,23500,23500,21650,22800,38253,-4.0
2024-02-02,22800,23550,22700,23300,8385,2.1929824561403506
2024-02-05,23200,23850,23000,23750,7795,1.9313304721030045
2024-02-06,24000,24300,22850,22950,8453,-3.3684210526315788
2024-02-07,22750,23400,22350,23000,12243,0.2178649237472767
2024-02-08,22950,23450,22800,23250,6687,1.0869565217391304
2024-02-13,23250,23550,22800,23050,6675,-0.8602150537634409
2024-02-14,22950,23300,22350,23300,7190,1.0845986984815619
2024-02-15,23400,23600,23000,23400,4323,0.4291845493562232
2024-02-16,23400,23400,23000,23250,6068,-0.641025641025641
2024-02-19,23250,23400,22950,23150,3370,-0.43010752688172044
2024-02-20,23250,23250,22800,23100,5293,-0.21598272138228944
2024-02-21,23100,23150,22550,22550,7058,-2.380952380952381
2024-02-22,22550,23000,21900,22600,11418,0.22172949002217296
2024-02-23,22800,22800,22200,22350,6017,-1.1061946902654867
2024-02-26,22350,22500,22050,22050,5990,-1.342281879194631
2024-02-27,22200,22350,21600,21950,12025,-0.45351473922902497
2024-02-28,21950,22500,21500,21900,9908,-0.22779043280182232
2024-02-29,21900,22450,21800,22350,5882,2.054794520547945
2024-03-04,22450,22650,22100,22300,6114,-0.22371364653243847
