날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,9610,9750,9330,9550,5108,-0.6243496357960457
2023-12-06,9600,9890,9310,9800,14951,2.6178010471204187
2023-12-07,9940,10310,9820,10190,30164,3.9795918367346936
2023-12-08,10190,10200,9760,9790,12072,-3.9254170755642788
2023-12-11,9980,10330,9820,10250,20887,4.698672114402451
2023-12-12,10180,12370,9820,10100,850982,-1.4634146341463417
2023-12-13,10200,10200,9650,9700,64405,-3.9603960396039604
2023-12-14,9700,9890,9400,9620,25679,-0.8247422680412372
2023-12-15,9560,9820,9400,9670,29698,0.5197505197505198
2023-12-18,9800,9800,9470,9680,7977,0.1034126163391934
2023-12-19,9530,9700,9400,9510,7885,-1.756198347107438
2023-12-20,9700,9700,9420,9590,6693,0.8412197686645636
2023-12-21,9590,9590,9410,9530,2706,-0.6256517205422315
2023-12-22,9480,9580,9470,9510,5374,-0.2098635886673662
2023-12-26,9520,9580,9340,9390,3592,-1.2618296529968454
2023-12-27,9500,9530,9310,9530,6014,1.4909478168264112
2023-12-28,9530,9700,9450,9650,2259,1.2591815320041972
2024-01-02,9660,9660,9500,9650,1990,0.0
2024-01-03,9830,9830,9500,9680,2298,0.31088082901554404
2024-01-04,9710,9710,9430,9600,2411,-0.8264462809917356
2024-01-05,9610,9610,9400,9590,3666,-0.10416666666666667
2024-01-08,9450,9660,9400,9590,3776,0.0
2024-01-09,9470,9610,9410,9500,2985,-0.9384775808133473
2024-01-10,9520,9520,9340,9390,3655,-1.1578947368421053
2024-01-11,9390,9570,9330,9400,1202,0.10649627263045794
2024-01-12,9320,9490,9280,9390,3241,-0.10638297872340426
2024-01-15,9430,9450,9300,9300,4313,-0.9584664536741214
2024-01-16,9390,9390,9280,9280,677,-0.21505376344086022
2024-01-17,9410,9650,9130,9180,4046,-1.0775862068965518
2024-01-18,9190,9430,9100,9200,6181,0.2178649237472767
2024-01-19,9240,9300,9130,9220,669,0.21739130434782608
2024-01-22,9330,9330,9130,9150,1409,-0.7592190889370932
2024-01-23,9150,9300,9100,9240,1985,0.9836065573770493
2024-01-24,9270,9310,9070,9070,3396,-1.83982683982684
2024-01-25,9030,9200,8960,9130,3063,0.6615214994487321
2024-01-26,9140,9280,9030,9040,4369,-0.9857612267250823
2024-01-29,9050,9100,8960,9090,2839,0.5530973451327433
2024-01-30,9020,9190,8660,8940,6343,-1.65016501650165
2024-01-31,8970,9400,8940,9340,4004,4.47427293064877
2024-02-01,9380,9900,9230,9310,17019,-0.32119914346895073
2024-02-02,9550,9610,9410,9590,8967,3.007518796992481
2024-02-05,9430,9660,9420,9660,2353,0.7299270072992701
2024-02-06,9660,9660,9440,9560,1084,-1.0351966873706004
2024-02-07,9560,9730,9460,9590,1848,0.3138075313807531
2024-02-08,9620,9630,9530,9580,3407,-0.10427528675703858
2024-02-13,9570,9730,9480,9620,5152,0.41753653444676403
2024-02-14,9620,9630,9460,9610,1629,-0.10395010395010396
2024-02-15,9640,9640,9400,9490,2926,-1.2486992715920915
2024-02-16,9530,9540,9420,9520,2998,0.31612223393045313
2024-02-19,9530,9580,9490,9540,1471,0.21008403361344538
2024-02-20,9540,9560,9410,9520,1075,-0.20964360587002098
2024-02-21,9570,9570,9430,9520,741,0.0
2024-02-22,9340,9550,9340,9520,409,0.0
2024-02-23,9530,9530,9060,9150,21834,-3.8865546218487395
2024-02-26,9270,9270,9110,9230,1244,0.8743169398907104
2024-02-27,9110,9320,9050,9220,1106,-0.10834236186348861
2024-02-28,9230,9420,9220,9220,3345,0.0
2024-02-29,9350,9350,9170,9170,1574,-0.5422993492407809
2024-03-04,9170,9240,9110,9180,1430,0.10905125408942204
2024-03-05,9180,9250,9130,9160,272,-0.2178649237472767
2024-03-06,9250,9250,9060,9190,554,0.32751091703056767
2024-03-07,9250,9250,9120,9130,659,-0.6528835690968444
2024-03-08,9130,9230,9020,9030,1112,-1.095290251916758
2024-03-11,9090,9170,9040,9120,1022,0.9966777408637874
2024-03-12,9150,9150,8990,9050,3809,-0.7675438596491228
2024-03-13,9130,9150,9000,9120,1603,0.7734806629834254
2024-03-14,9170,9170,8980,9120,2092,0.0
2024-03-15,9150,9150,8990,9120,1226,0.0
2024-03-18,9150,9150,8960,9050,3995,-0.7675438596491228
2024-03-19,9170,9170,8970,9000,964,-0.5524861878453038
2024-03-20,9140,9140,9000,9020,1436,0.2222222222222222
2024-03-21,9110,9200,8980,9150,729,1.441241685144124
2024-03-22,9210,9210,9080,9120,2240,-0.32786885245901637
2024-03-25,9120,9170,9090,9140,859,0.21929824561403508
2024-03-26,9050,9160,9050,9130,1449,-0.10940919037199125
2024-03-27,9140,9150,9070,9150,1550,0.21905805038335158
2024-03-28,9220,9220,9070,9140,725,-0.1092896174863388
2024-03-29,9160,9160,9050,9100,1820,-0.437636761487965
