날짜,시가,고가,저가,종가,거래량,등락률
2023-12-05,4220,4290,4205,4215,25896,-0.11848341232227488
2023-12-06,4215,4285,4185,4200,33161,-0.3558718861209964
2023-12-07,4210,4240,4195,4200,25724,0.0
2023-12-08,4200,4230,4170,4200,28569,0.0
2023-12-11,4205,4230,4190,4220,7387,0.4761904761904762
2023-12-12,4225,4260,4195,4220,19994,0.0
2023-12-13,4225,4240,4190,4200,9891,-0.47393364928909953
2023-12-14,4170,4230,4160,4170,22930,-0.7142857142857143
2023-12-15,4165,4200,4125,4165,26886,-0.1199040767386091
2023-12-18,4145,4195,4135,4160,8780,-0.12004801920768307
2023-12-19,4165,4165,4140,4160,4119,0.0
2023-12-20,4160,4220,4145,4220,4843,1.4423076923076923
2023-12-21,4180,4220,4180,4185,4784,-0.8293838862559242
2023-12-22,4185,4230,4180,4230,3333,1.0752688172043012
2023-12-26,4230,4285,4025,4205,19590,-0.5910165484633569
2023-12-27,4105,4185,4100,4155,8135,-1.1890606420927468
2023-12-28,4155,4220,4140,4165,10756,0.24067388688327318
2024-01-02,4200,4205,4165,4175,4554,0.24009603841536614
2024-01-03,4130,4175,4130,4140,4673,-0.8383233532934131
2024-01-04,4105,4185,4105,4145,6188,0.12077294685990338
2024-01-05,4110,4165,4110,4135,1481,-0.24125452352231602
2024-01-08,4160,4160,4115,4135,3970,0.0
2024-01-09,4160,4260,4105,4120,45862,-0.36275695284159615
2024-01-10,4105,4155,4090,4100,39679,-0.48543689320388345
2024-01-11,4120,4135,4095,4110,21885,0.24390243902439024
2024-01-12,4150,4150,4040,4065,15019,-1.094890510948905
2024-01-15,4080,4080,4030,4050,5940,-0.36900369003690037
2024-01-16,4055,4075,3945,3965,13674,-2.0987654320987654
2024-01-17,3980,3980,3835,3845,16190,-3.0264817150063053
2024-01-18,3845,3975,3840,3890,35508,1.1703511053315996
2024-01-19,3865,4025,3865,3940,12126,1.2853470437017995
2024-01-22,3940,4090,3935,4030,24996,2.284263959390863
2024-01-23,4105,4130,4035,4085,23563,1.3647642679900744
2024-01-24,4085,4185,4050,4135,78321,1.2239902080783354
2024-01-25,4125,4210,4000,4015,93825,-2.902055622732769
2024-01-26,4005,4120,4005,4025,45962,0.24906600249066002
2024-01-29,4070,4070,4025,4070,22685,1.1180124223602486
2024-01-30,4070,4310,4070,4255,229351,4.545454545454546
2024-01-31,4280,4340,4205,4255,72009,0.0
2024-02-01,4270,4460,4220,4445,164271,4.465334900117509
2024-02-02,4485,4485,4370,4415,142003,-0.6749156355455568
2024-02-05,4495,4520,4380,4430,135178,0.33975084937712347
2024-02-06,4440,4470,4340,4355,54764,-1.6930022573363432
2024-02-07,4375,4450,4325,4440,41916,1.951779563719862
2024-02-08,4440,4475,4390,4425,55023,-0.33783783783783783
2024-02-13,4435,4540,4415,4505,69167,1.807909604519774
2024-02-14,4500,4505,4410,4485,36951,-0.4439511653718091
2024-02-15,4485,4520,4440,4450,33643,-0.7803790412486065
2024-02-16,4455,4470,4380,4460,45691,0.22471910112359553
2024-02-19,4460,4545,4460,4515,51827,1.2331838565022422
2024-02-20,4465,4560,4450,4470,42935,-0.9966777408637874
2024-02-21,4530,4530,4405,4405,43582,-1.45413870246085
2024-02-22,4400,4475,4355,4440,52888,0.7945516458569807
2024-02-23,4440,4595,4430,4560,97525,2.7027027027027026
2024-02-26,4560,4580,4355,4490,85058,-1.5350877192982455
2024-02-27,4490,4520,4340,4340,53888,-3.34075723830735
2024-02-28,4340,4440,4280,4380,60592,0.9216589861751152
2024-02-29,4380,4380,4250,4250,88603,-2.968036529680365
2024-03-04,4250,4450,4215,4380,89350,3.058823529411765
2024-03-05,4430,4430,4265,4280,59818,-2.28310502283105
2024-03-06,4280,4315,4205,4245,27200,-0.8177570093457943
2024-03-07,4255,4280,4175,4215,35570,-0.7067137809187279
2024-03-08,4215,4240,4185,4200,39763,-0.3558718861209964
2024-03-11,4205,4290,4170,4200,91396,0.0
2024-03-12,4200,4210,4140,4165,38048,-0.8333333333333334
2024-03-13,4195,4195,4135,4160,20884,-0.12004801920768307
2024-03-14,4160,4240,4150,4190,13609,0.7211538461538461
2024-03-15,4230,4230,4140,4175,21069,-0.35799522673031026
2024-03-18,4180,4195,4145,4170,12950,-0.11976047904191617
2024-03-19,4185,4190,4145,4145,12566,-0.5995203836930456
2024-03-20,4190,4190,4105,4130,29737,-0.3618817852834741
2024-03-21,4220,4220,4105,4150,54255,0.48426150121065376
